teste,tipo,status,falhas,universo,pct_universo
dbt_utils_source_accepted_range_main_etnia_ETNIA__264__1,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_internacoes_DIAS_PERM__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_internacoes_IDADE__150__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_internacoes_NACIONAL__350__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_internacoes_NUM_FILHOS__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_internacoes_VAL_SH__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_internacoes_VAL_TOT__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_internacoes_VAL_SP__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_internacoes_VAL_UTI__0,domínio,pass,0,13569682,0.0000%
dbt_utils_source_accepted_range_main_municipios_longitude___28_84___73_99,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_nacionalidade_NACIONAL__350__1,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_municipios_latitude__5_27___33_75,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_socioeconomico_NU_ANO__2024__2008,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_socioeconomico_QT_LEITOS_SUS__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_socioeconomico_QT_MEDICOS__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_socioeconomico_QT_NASCIDOS_VIVOS__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_socioeconomico_QT_OBITOS_INFANTIS__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_socioeconomico_QT_POPULACAO__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_socioeconomico_VL_LEITOS_SUS_1000__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_socioeconomico_VL_MEDICOS_1000__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_socioeconomico_VL_MORT_INFANTIL__0,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_tempo_ano__2024__2008,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_tempo_data___2024_12_31____2008_01_01_,domínio,pass,0,197312203,0.0000%
dbt_utils_source_accepted_range_main_tempo_mes__12__1,domínio,pass,0,197312203,0.0000%
hospital_cnes_munic_mov,regra de negócio,pass,0,197312203,0.0000%
internacoes_etnia_raca_cor,regra de negócio,pass,0,197312203,0.0000%
internacoes_dt_saida_dt_inter,regra de negócio,pass,0,197312203,0.0000%
internacoes_morte_cid_morte,regra de negócio,pass,0,8501763,0.0000%
internacoes_morte_false_cid_morte,regra de negócio,fail,322,8501763,0.0038%
internacoes_nasc_dt_inter,regra de negócio,pass,0,197312203,0.0000%
internacoes_idade,regra de negócio,fail,1875400,197312203,0.9505%
internacoes_raca_cor_etnia,regra de negócio,pass,0,197312203,0.0000%
internacoes_insc_pn_sexo,regra de negócio,fail,81763087,81763104,100.0000%
internacoes_uti_int_to_marca_uti,regra de negócio,fail,673568,1096836,61.4101%
internacoes_uti_int_to_dias_perm,regra de negócio,fail,11452,1096836,1.0441%
dbt_utils_source_accepted_range_main_internacoes_ETNIA__264__1,domínio,fail,167081073,197312203,84.6785%
source_accepted_values_main_cid_TP_NIVEL__CAT__SUBCAT,domínio,pass,0,197312203,0.0000%
source_accepted_values_main_cid_RESTRSEXO__1__3__5,domínio,pass,0,197312203,0.0000%
source_accepted_values_main_complexidade_COMPLEX__1__2__3,domínio,pass,0,197312203,0.0000%
source_accepted_values_main_especialidade_ESPEC__1__2__3__4__5__6__7__8__9__10__11__12__13__14__15__16__31__32__33__34__35__36__37__38__39__40__41__42__43__44__45__46__47__48__49__61__62__63__64__65__66__67__68__69__70__71__72__73__74__75__76__77__78__79__80__81__82__83__84__85__86__87__88__89__90__91__92__93__94__95,domínio,pass,0,197312203,0.0000%
source_accepted_values_main_contraceptivos_CONTRACEPTIVO__1__2__3__4__5__6__7__8__9__10__11__12,domínio,pass,0,197312203,0.0000%
